,tournament,position,matches_played,wins,draws,lost,season
0,campeonato colombiano,6º,18,7,4,7,1948
1,campeonato colombiano,7º,26,8,8,10,1949
2,campeonato colombiano,15º,30,6,4,20,1950
3,campeonato colombiano,15º,34,7,9,18,1951
4,campeonato colombiano,13º,28,5,7,16,1952
5,campeonato colombiano,7º,22,10,5,7,1953
6,campeonato colombiano,CampeónStar*.svg,18,14,3,1,1954
7,campeonato colombiano,2º,27,16,7,4,1955
8,campeonato colombiano,9º,24,8,4,12,1956
9,campeonato colombiano,9º,32,9,8,15,1957
10,campeonato colombiano,5º,36,14,11,11,1958
11,campeonato colombiano,5º,43,16,10,17,1959
12,campeonato colombiano,9º,44,15,7,22,1960
13,campeonato colombiano,11º,44,13,9,22,1961
14,campeonato colombiano,10º,44,10,9,25,1962
15,campeonato colombiano,11º,48,15,10,23,1963
16,campeonato colombiano,9º,48,17,13,18,1964
17,campeonato colombiano,2º,48,22,16,10,1965
18,campeonato colombiano,12º,52,15,11,26,1966
19,campeonato colombiano,10º,52,14,19,19,1967
20,campeonato colombiano,11º,52,14,12,26,1968
21,campeonato colombiano,12º,52,13,13,26,1969
22,campeonato colombiano,11º,52,13,16,23,1970
23,campeonato colombiano,2º,61,32,18,11,1971
24,campeonato colombiano,4º,56,27,13,16,1972
25,campeonato colombiano,CampeónStar*.svg,54,29,13,12,1973
26,campeonato colombiano,2º,59,27,20,12,1974
27,campeonato colombiano,10º,47,12,18,17,1975
28,campeonato colombiano,CampeónStar*.svg,57,27,13,17,1976
29,campeonato colombiano,4º,57,21,20,16,1977
30,campeonato colombiano,3º,59,29,14,16,1978
31,campeonato colombiano,8º,53,14,24,15,1979
32,campeonato colombiano,4º,61,23,21,17,1980
33,campeonato colombiano,CampeónStar*.svg,61,28,17,16,1981
34,campeonato colombiano,6º,61,21,21,19,1982
35,campeonato colombiano,3º,54,26,16,12,1983
36,campeonato colombiano,7º,56,26,16,14,1984
37,campeonato colombiano,6º,54,25,9,20,1985
38,campeonato colombiano,6º,54,16,23,15,1986
39,campeonato colombiano,4º,56,28,16,12,1987
40,campeonato colombiano,2º,54,35,12,7,1988
41,campeonato colombiano,Torneo cancelado,46,15,20,11,1989
42,campeonato colombiano,2º,52,21,19,12,1990
43,campeonato colombiano,CampeónStar*.svg,52,24,18,10,1991
44,campeonato colombiano,2º,60,26,20,14,1992
45,campeonato colombiano,3º,58,24,14,20,1993
46,campeonato colombiano,CampeónStar*.svg,58,28,18,12,1994
47,campeonato colombiano,3º,30,12,12,6,1995
48,campeonato colombiano,3º,60,27,14,19,1996
49,campeonato colombiano,3º,80,40,19,21,1997
50,campeonato colombiano,4º,56,26,19,11,1998
51,campeonato colombiano,CampeónStar*.svg,54,24,19,11,1999
52,campeonato colombiano,7º,44,17,9,18,2000
53,campeonato colombiano,9º,44,17,12,15,2001
54,torneo apertura,2º,30,15,9,6,2002
55,torneo finalización,8º,28,9,10,9,2002
56,torneo apertura,14º,18,6,2,10,2003
57,torneo finalización,6º,24,12,5,7,2003
58,torneo apertura,2º,26,13,5,8,2004
59,torneo finalización,2º,26,13,5,8,2004
60,torneo apertura,CampeónStar*.svg,26,15,9,2,2005
61,torneo finalización,11º,18,6,8,4,2005
62,torneo apertura,6º,24,11,3,10,2006
63,torneo finalización,5º,24,11,6,7,2006
64,torneo apertura,CampeónStar*.svg,26,15,6,5,2007
65,torneo finalización,CampeónStar*.svg,26,15,8,3,2007
66,torneo apertura,14º,18,7,1,10,2008
67,torneo finalización,8º,24,9,7,8,2008
68,torneo apertura,17º,18,3,7,8,2009
69,torneo finalización,3º,24,9,10,5,2009
70,torneo apertura,8º,18,9,1,8,2010
71,torneo finalización,7º,24,11,5,8,2010
72,torneo apertura,CampeónStar*.svg,24,13,3,8,2011
73,torneo finalización,11º,18,5,7,6,2011
74,torneo apertura,12º,18,6,4,8,2012
75,torneo finalización,3°,24,10,10,4,2012
76,torneo apertura,CampeónStar*.svg,26,12,10,4,2013
77,torneo finalización,CampeónStar*.svg,26,17,6,3,2013
78,torneo apertura,CampeónStar*.svg,24,14,4,6,2014
79,torneo finalización,6°,24,10,5,9,2014
80,torneo apertura,7°,22,10,5,7,2015
81,torneo finalización,CampeónStar*.svg,26,17,4,5,2015
82,torneo apertura,3°,24,12,7,5,2016
83,torneo finalización,3°,24,10,11,3,2016
84,torneo apertura,CampeónStar*.svg,26,19,5,2,2017
85,torneo finalización,5°,22,13,2,7,2017
86,torneo apertura,2º,25,14,7,4,2018
87,torneo finalización,9°,19,8,6,5,2018
88,torneo apertura,7°,26,9,8,9,2019
89,torneo finalización,3°,26,11,10,5,2019
90,campeonato colombiano,4°,22,11,5,6,2020
91,torneo apertura,5°,20,10,5,5,2021
92,torneo finalización,5°,26,13,9,4,2021
